"ID","START_DATE","PREPAID","FIN_STATE","COUNT_PAYMENT_DELAYS_CURRENT","COUNT_PAYMENT_DELAYS_1YEAR","DAYS_PAYMENT_DELAYS_CURRENT","DAYS_PAYMENT_DELAYS_1YEAR","COMPLAINT_1WEEK","COMPLAINT_2WEEKS","COMPLAINT_1MONTH","COMPLAINT_3MONTHS","COMPLAINT_6MONTHS","CLV","COUNT_OFFNET_CALLS_1WEEK","COUNT_ONNET_CALLS_1WEEK","AVG_DATA_3MONTH","COUNT_CONNECTIONS_3MONTH","AVG_DATA_1MONTH","COUNT_SMS_INC_ONNET_6MONTH","COUNT_SMS_OUT_OFFNET_6MONTH","COUNT_SMS_INC_OFFNET_1MONTH","COUNT_SMS_INC_OFFNET_WKD_1MONTH","COUNT_SMS_INC_ONNET_1MONTH","COUNT_SMS_INC_ONNET_WKD_1MONTH","COUNT_SMS_OUT_OFFNET_1MONTH","COUNT_SMS_OUT_OFFNET_WKD_1MONTH","COUNT_SMS_OUT_ONNET_1MONTH","COUNT_SMS_OUT_ONNET_WKD_1MONTH","AVG_MINUTES_INC_OFFNET_1MONTH","AVG_MINUTES_INC_ONNET_1MONTH","MINUTES_INC_OFFNET_WKD_1MONTH","MINUTES_INC_ONNET_WKD_1MONTH","AVG_MINUTES_OUT_OFFNET_1MONTH","AVG_MINUTES_OUT_ONNET_1MONTH","MINUTES_OUT_OFFNET_WKD_1MONTH","MINUTES_OUT_ONNET_WKD_1MONTH","Payment_Delay_level","CLV_level","delta_m3_m6","delta_m1_m3","Time_Customer","Time_Customer_days","OFFNET_weekend_talker","Outcaller","CHURN"
16047,2013-06-05,"1",NA,0,2,0,3,0,0,0,1,3,13400.18,24,32,594284018,45,223850982,552,111,48,14,87,22,10,2,16,4,72.23333333,16.06833333,76.65,37.75,11.33333333,15.97833333,63.66666667,37.5,1,0,-2,-1,21.1428571428571,148,3,0,"0"
13986,2012-10-19,"0",NA,0,2,0,7,0,0,0,0,1,10510.26,0,0,73154897,22,0,1058,51,0,0,0,0,0,0,4,2,0,0.016666667,0,0.316666667,0.016666667,0,0.633333333,0,1,1,-1,0,53.8571428571429,377,1,1,"0"
14665,2013-01-14,"0",NA,0,2,0,48,0,0,0,0,0,13738.29,32,16,3983740122,77,1488398296,607,179,9,2,86,13,18,2,13,1,66.83333333,42.96666667,15.01666667,1.8,18.78333333,17.25,0.833333333,17.16666667,1,0,0,0,41.4285714285714,290,1,0,"0"
15368,2013-04-06,"1",NA,0,2,0,5,0,0,0,0,0,11597.85,2,15,1862642185,94,777079439,193,59,1,0,22,2,2,0,0,0,26.43333333,11.13333333,38.16666667,19.83333333,27.06666667,94.83333333,6.15,0.933333333,1,0,0,0,29.7142857142857,208,3,1,"0"
16582,2013-07-24,"1",NA,0,0,0,0,0,0,0,0,0,45504.88,36,101,2841265928,42,2266289409,1071,32,4,0,191,36,28,8,44,9,84.53333333,473.45,48.83333333,20.33666667,30.75,45.06166667,34.83333333,17.98333333,1,3,0,0,14.1428571428571,99,3,0,"0"
12300,2012-01-13,"0",NA,0,0,0,0,0,0,0,0,0,34624.19,2,2,222389,4,50880,23,24,0,0,7,1,0,0,0,0,322.4,16.45166667,0,0,34.08333333,14.34833333,0,0,1,3,0,0,93.8571428571429,657,1,0,"0"
12579,2012-03-08,"0","0",0,0,0,0,0,0,0,0,0,31279.2,72,36,247822227,90,127570305,48,261,7,0,8,0,32,6,0,0,303.6666667,61.56666667,81.81666667,11.8,271.1333333,48.35,50.2,5.816666667,1,3,0,0,86,602,3,0,"1"
12579,2012-03-08,"0","0",0,0,0,0,0,0,0,0,0,31279.2,72,36,247822227,90,127570305,48,261,7,0,8,0,32,6,0,0,303.6666667,61.56666667,81.81666667,11.8,271.1333333,48.35,50.2,5.816666667,1,3,0,0,86,602,3,0,"1"
11123,2010-08-18,"0",NA,0,1,0,6,0,0,0,0,0,5299.61,8,5,49980,5,208,332,34,0,0,32,0,0,0,5,0,46.73333333,40.33333333,23.46666667,13.16666667,24.3,0.133333333,0.533333333,10.71666667,1,1,0,0,167.142857142857,1170,0,0,"0"
11797,2011-07-27,"0","0",0,3,0,33,0,0,0,0,0,23470.34,9,33,242762914,144,142305852,855,115,10,6,136,22,11,5,27,1,54.38333333,453.1833333,5.75,279.6166667,34.16666667,456.5333333,5.216666667,278.2333333,1,3,0,0,118.142857142857,827,1,0,"1"
11797,2011-07-27,"0","0",0,3,0,33,0,0,0,0,0,23470.34,9,33,242762914,144,142305852,855,115,10,6,136,22,11,5,27,1,54.38333333,453.1833333,5.75,279.6166667,34.16666667,456.5333333,5.216666667,278.2333333,1,3,0,0,118.142857142857,827,1,0,"1"
11341,2010-12-18,"0","0",0,1,0,4,0,0,0,0,0,8442.71,0,3,0,0,0,200,416,0,0,24,8,52,8,2,0,3.3,0.6,5.333333333,2.816666667,0.383333333,0.6,0.316666667,2.9,1,1,0,0,149.714285714286,1048,1,0,"1"
12651,2012-03-22,"0","0",0,1,0,29,0,0,0,1,2,34154.49,25,6,598969577,60,53552339,530,728,508,179,49,7,557,194,9,1,168.8,7.25,16.26666667,9.533333333,33.38333333,7.2,5.966666667,7.95,1,3,-1,-1,84,588,1,0,"1"
12651,2012-03-22,"0","0",0,1,0,29,0,0,0,1,2,34154.49,25,6,598969577,60,53552339,530,728,508,179,49,7,557,194,9,1,168.8,7.25,16.26666667,9.533333333,33.38333333,7.2,5.966666667,7.95,1,3,-1,-1,84,588,1,0,"1"
11915,2011-09-07,"0",NA,0,5,0,101,0,0,0,0,0,16567.05,32,99,0,0,0,1233,26,6,2,154,34,2,2,86,8,53.2,11.78333333,25.93333333,44.16666667,146.2,97.15,9.45,37.48333333,2,0,0,0,112.142857142857,785,0,1,"0"
15425,2013-04-11,"0",NA,1,2,-29,30,0,0,0,0,0,33500.19,5,0,171656205,99,4740421,4,88,12,2,0,0,10,0,8,2,30.28333333,16.11666667,17.11666667,1.9,212.5,79.68333333,67.61666667,34.18333333,1,3,0,0,29,203,0,1,"0"
13880,2012-10-02,"1",NA,0,2,0,8,0,0,0,0,0,12963.59,14,76,377616517,93,188745710,316,22,0,0,54,18,0,0,61,6,19.66666667,859.3,41.66666667,351.25,25.13333333,85.83166667,15.83333333,35.06166667,1,0,0,0,56.2857142857143,394,3,1,"0"
17002,2013-08-30,"0",NA,0,0,0,0,0,0,0,0,0,945.04,13,1,2695435,2,2695435,0,24,4,0,0,0,6,0,4,4,14.26666667,1.1,9.65,0,35.8,73.33333333,16.65,91.83333333,1,1,0,0,8.85714285714286,62,1,1,"0"
15305,2013-04-01,"1",NA,0,2,0,14,0,0,0,0,0,17555,0,0,1.02863e+16,92,38357230951,850,0,0,0,194,49,0,0,47,16,0,0,0,0,0,0,0,0,1,3,0,0,30.4285714285714,213,1,0,"0"
14912,2013-02-13,"0","0",0,3,0,10,0,0,0,0,0,22140.44,9,0,967149057,116,190437640,8,122,4,0,4,0,16,4,16,2,17.81666667,3.35,27.43333333,0,107.4166667,81.68333333,52.55,24.78333333,1,3,0,0,37.1428571428571,260,0,1,"1"
13400,2012-07-19,"0","0",0,1,0,3,0,0,0,0,0,17353.25,0,0,1.33468e+11,68,6609565603,126,2,0,0,60,20,0,0,15,5,0,0,0,0,0,0,0,0,1,3,0,0,67,469,1,0,"1"
13400,2012-07-19,"0","0",0,1,0,3,0,0,0,0,0,17353.25,0,0,1.33468e+11,68,6609565603,126,2,0,0,60,20,0,0,15,5,0,0,0,0,0,0,0,0,1,3,0,0,67,469,1,0,"1"
13400,2012-07-19,"0","0",0,1,0,3,0,0,0,0,0,17353.25,0,0,1.33468e+11,68,6609565603,126,2,0,0,60,20,0,0,15,5,0,0,0,0,0,0,0,0,1,3,0,0,67,469,1,0,"1"
13400,2012-07-19,"0","0",0,1,0,3,0,0,0,0,0,17353.25,0,0,1.33468e+11,68,6609565603,126,2,0,0,60,20,0,0,15,5,0,0,0,0,0,0,0,0,1,3,0,0,67,469,1,0,"1"
16223,2013-06-21,"0",NA,0,0,0,0,0,0,0,1,1,19149.52,14,0,3206558210,19,3201736347,0,15,42,14,0,0,9,0,8,2,18.81666667,0,53.65,0,57.43333333,19.66333333,42.73333333,33.95,1,3,0,-1,18.8571428571429,132,3,1,"0"
10021,1999-10-22,"0",NA,0,3,0,10,0,0,0,0,0,25430.42,0,1,2430609040,42,0,277,17,0,0,30,10,0,0,0,0,0,33.96666667,0,86.16666667,58.68333333,25.85,0.266666667,84.66666667,1,3,0,0,731.857142857143,5123,1,1,"0"
11285,2010-11-20,"0",NA,0,0,0,0,0,0,0,0,0,6968.28,19,55,551,1,0,324,36,0,0,86,22,14,2,19,5,40.35,14.96166667,17.58333333,99.61666667,11.8,0,5.95,98.45,1,1,0,0,153.714285714286,1076,0,0,"0"
10168,2005-06-10,"0",NA,0,2,0,6,0,0,0,0,0,21948.26,19,27,754540219,138,162300913,838,22,0,0,113,17,4,0,8,1,19.40166667,12.76833333,66.33333333,19.11666667,97.21666667,95.16666667,14.16666667,47.66666667,1,3,0,0,437.857142857143,3065,3,1,"0"
16710,2013-08-03,"1",NA,0,0,0,0,1,0,0,1,1,17416.6,10,66,84633290,31,84633290,3101,16,6,4,544,162,0,0,87,32,27.1,101.25,19.28333333,24.23333333,97.16666667,94.41666667,0.2,20.48333333,1,3,0,-1,12.7142857142857,89,0,1,"0"
12864,2012-04-25,"0","0",0,8,0,67,0,0,0,0,0,12134.75,26,32,0,0,0,285,18,0,0,36,3,0,0,9,1,192.8666667,112.0166667,0,0,357.4833333,111.7,0,0,2,0,0,0,79.1428571428571,554,1,1,"1"
