"ID","Churn"
17030,0.286
14981,0.118
12848,0.374
11536,0.218
14306,0.186
10395,0.376
11093,0.142
12265,0.408
12039,0.258
14711,1
14797,0.27
15143,0.172
11650,0.05
11619,0.076
16025,0.102
10294,0.026
11599,0.218
12194,0.044
15234,0.138
12092,0.104
10991,0.028
11583,0.672
14351,0.09
16235,0.074
14092,0.47
14364,0.178
11320,0.046
14846,1
11432,0.912
11102,0.128
10589,0.422
14629,0.716
12143,0.828
15613,0.45
12920,1
10854,0.34
16036,0.228
13818,0.364
15002,0.306
12770,0.282
15438,0.33
10055,0.3
11142,0.034
14790,0.498
10035,0.448
16567,0.072
16565,0.15
14939,0.246
11943,0.042
16179,0.6
15065,0.06
10206,0.216
12884,0.2
13396,0.054
10746,0.032
13254,0.576
16282,0.028
13640,0.184
11151,0.172
16379,0.264
14838,0.596
10550,0.66
15863,0.092
12705,0.226
16417,0.334
14688,0.036
10223,0.3
14002,0.232
10545,0.47
13604,0.222
14570,0.562
14023,0.982
16551,0.226
15541,0.586
14887,0.122
11589,0.414
10350,0.066
12686,0.894
13826,0.028
12260,0.25
10607,0.086
13117,0.86
11469,0.028
16233,0.188
13551,0.488
14071,0.306
16591,0.268
14260,0.158
12467,0.264
14017,0.974
12773,0.318
12548,0.096
11725,0.922
14772,0.576
13189,0.048
10588,0.42
13332,0.304
16403,0.444
15932,0.372
10416,0.574
15523,0.364
13231,0.47
16479,0.308
10234,0.022
11458,0.88
12101,0.594
15768,0.102
16676,0.494
16001,0.176
12027,0.068
16441,0.084
13152,0.514
14962,0.056
16480,0.41
13662,0.998
13044,0.42
14112,0.058
14300,0.076
13775,0.146
10983,0.506
14415,0.334
10903,0.432
15911,0.678
15329,0.066
12563,0.338
11146,0.276
15945,0.634
15800,0.834
14427,0.01
15242,0.326
15370,0.2
11540,0.104
11942,0.194
15817,0.238
12833,0.3
11057,0.198
10716,0.062
11060,0.034
16392,0.2
13992,0.296
10908,0.048
12808,0.034
10521,0.204
16355,0.57
14317,0.228
12919,0.71
16211,0.148
14007,0.38
14966,0.968
13362,0.284
16513,0.8
11696,0.074
11816,0.122
11819,0.782
16260,0.606
11790,0.082
15352,0.066
10462,0.086
11294,0.046
11277,0.474
14656,0.458
13355,0.998
15233,0.042
15366,0.018
14606,1
15952,0.104
12428,0.014
12457,0.872
16319,0.322
15079,0.154
15339,0.37
14921,0.502
12259,0.082
15317,0.466
15972,0.44
13868,0.954
11528,0.284
13366,0.052
10064,0.086
11247,0.022
14432,0.132
15903,0.106
15804,0.02
13770,0.432
16327,0.06
15367,0.178
11209,0.2
13846,0.964
10921,0.012
12106,0.028
10765,0.088
14479,0.53
15854,0.516
10304,0.032
10527,0.388
14520,0.23
10097,0.086
11270,0.124
16057,0.098
10559,0.728
16287,0.44
14647,0.11
15288,0.452
12453,0.456
10398,0.128
16828,0.136
15310,0.646
13581,0.054
12812,0.812
16690,0.154
15597,0.158
15430,0.158
10355,0.152
15445,0.114
15662,0.058
16651,0.174
14853,0.032
11673,0.072
11999,0.986
16471,0.624
11871,0.044
11977,0.486
10517,0.104
11427,0.548
16758,0.252
10138,0.048
15724,0.618
12345,0.22
13327,0.17
14767,0.084
13324,0.074
11975,0.03
14759,0.192
11685,0.02
12360,0.28
11966,0.88
10041,0.136
10611,0.22
10759,0.042
12701,0.824
15620,0.68
10910,0.112
14055,0.034
12163,0.036
13834,0.998
15980,0.32
14181,0.352
12809,0.934
10476,0.132
15973,0.368
10487,0.054
16853,0.238
11086,0.812
13144,0.41
11257,0.072
14151,0.26
11112,0.098
10579,0.138
10701,0.536
14125,0.9
15539,0.518
12817,0.012
10578,0.522
11894,0.092
12985,0.318
13472,0.054
14538,0.232
11584,0.988
11300,0.04
16990,0.378
11511,0.034
12179,0.42
15302,0.142
10037,0.476
11131,0.42
10238,0.284
13322,0.588
13167,0.35
14740,0.588
10430,0.098
13710,0.004
14423,0.19
11398,0.028
14989,0.69
16663,0.09
14454,0.57
13253,0.882
16851,0.046
11426,0.098
10353,0.062
10373,0.21
15850,0.426
13977,0.282
12902,1
14276,0.664
15099,0.242
12507,0.456
14231,0.16
11299,0.028
14527,0.998
10891,0.908
14082,0.018
14584,0.214
16041,0.072
12147,0.822
11553,0.17
11643,0.124
13785,0.596
13303,0.142
16462,0.3
10438,0.132
16430,0.716
16757,0.22
10961,0.062
13782,0.268
13453,0.574
16622,0.222
13563,0.894
16192,0.674
12483,0.05
15547,0.332
10110,0.408
11382,0.102
15630,0.102
15050,0.798
15260,0.082
13225,0.024
10190,0.836
11022,0.146
11723,0.086
14413,0.11
12379,0.346
16464,0.092
15573,0.046
11328,0.348
16478,0.152
13511,0.118
13540,0.25
10428,0.408
15852,0.642
12095,0.074
15900,0.198
13973,0.21
14436,0.058
16834,0.156
13413,0.364
11279,0.072
10852,0.544
10150,0.15
15797,0.134
16185,0.026
12375,0.698
10290,0.05
10866,0.414
11957,0.032
11156,0.08
11319,0.14
13192,0.112
11069,0.412
13318,0.374
13503,0.828
15622,0.286
13158,0.44
10389,0.154
11081,0.112
11216,0.036
14392,0.114
11566,0.314
16437,0.068
11941,0.56
14384,0.11
14925,0.112
13376,0.026
12811,0.196
15990,0.598
14804,0.086
10267,0.044
16509,0.048
10612,0.01
15287,0.184
12954,0.722
10913,0.462
14005,0.332
11667,0.206
13553,0.5
11736,0.914
11738,0.758
13265,0.208
14173,0.112
11033,0.096
14699,0.256
10630,0.222
16653,0.414
15922,0.346
12802,0.082
11905,0.072
16699,0.328
13736,1
13269,0.102
11955,0.338
14695,0.26
13073,0.018
13981,0.046
14417,0.088
12743,0.084
12362,0.406
16675,0.522
14024,0.052
13300,0.26
11742,0.076
12761,0.83
13221,0.96
13794,0.864
10710,0.326
13950,0.952
11355,0.032
15431,0.538
11313,0.012
15382,0.104
16539,0.044
13010,0.294
10020,0.186
16682,0.26
10546,0.06
16350,0.08
14148,0.172
13608,0.972
16489,0.068
10849,0.22
11926,0.164
12722,0.828
10847,0.366
14149,0.068
14161,0.082
10736,0.338
16790,0.304
11651,0.046
13390,0.79
15647,0.112
10413,0.114
12637,0.416
10873,0.142
10351,0.738
13663,0.984
12239,0.1
13378,0.26
13975,0.758
10763,0.666
15938,0.108
12231,0.188
12699,0.698
13776,0.614
16763,0.266
16909,0.56
15334,0.256
14605,0.426
17006,0.056
16134,0.136
11058,0.382
12726,0.054
15379,0.762
10807,0.32
11806,0.04
10572,0.848
12496,0.104
12042,0.182
14706,0.152
12538,0.036
11687,0.606
11526,0.64
13386,0.894
11386,0.178
13598,0.744
11088,0.128
14111,0.472
14183,0.226
12953,0.738
13610,0.994
15819,0.098
11856,0.048
12683,0.104
10686,0.15
12191,0.038
11250,0.038
14820,0.296
12322,0.106
17020,0.806
14145,0.59
16621,0.378
16886,0.39
13020,0.212
14724,1
12502,0.164
14521,0.13
10145,0.504
14434,0.022
11377,0.93
15941,0.014
11776,0.158
14978,0.704
16145,0.022
13764,0.03
12669,0.556
12490,0.232
16534,0.252
11024,0.92
16792,0.086
14229,0.102
16209,0.37
15471,0.118
13260,0.894
10881,0.098
14094,0.336
15200,0.08
16767,0.086
12199,0.016
12877,0.444
11574,0.178
11750,0.198
11527,0.044
10621,0.544
13699,0.85
15393,0.164
11118,0.178
12648,0.06
16644,0.262
12641,0.174
16279,0.06
16774,0.034
13555,0.834
13150,0.582
15907,0.334
16193,0.248
13906,0.102
15106,0.136
13479,0.25
14099,0.172
14689,0.098
11615,0.066
13547,0.062
16659,0.644
15175,0.42
14264,0.6
14654,0.628
10329,0.866
10033,0.266
11888,0.43
14241,0.4
15351,0.236
16920,0.27
16492,0.092
11459,0.028
12283,0.872
11813,0.016
15678,0.202
14856,0.068
10089,0.142
15138,0.11
15201,0.514
15627,0.014
14802,0.082
14370,0.106
10848,0.366
15312,0.252
12881,0.11
12923,0.444
15906,0.136
16650,0.206
11913,0.206
10335,0.044
11636,0.216
10161,0.602
14097,0.208
11626,0.244
14754,0.18
14972,0.164
11587,0.988
13101,0.138
15067,0.276
14864,0.796
13371,0.112
12886,0.634
15713,0.176
11082,0.2
11346,0.68
11668,0.918
14822,0.048
10309,0.044
14845,1
10326,0.008
10971,0.776
13841,0.08
16033,0.47
16291,0.31
11951,0.326
16764,0.688
10289,0.32
10806,0.114
16951,0.448
10075,0.206
10624,0.878
10072,0.566
10436,0.06
10777,0.124
15040,0.068
16121,0.538
14377,0.114
11406,0.086
16140,0.21
12756,0.984
15729,0.09
12810,0.874
11994,0.096
16949,0.158
10819,0.044
13697,0.156
13024,0.978
15103,0.754
13369,0.074
10370,0.176
16635,0.106
12173,0.13
13724,0.066
15292,0.294
16512,0.146
11568,0.098
14060,0.448
16855,0.232
16164,0.034
16323,0.098
